Department,Crse,Title,Days,Time,Act,Instructor,Location,Type
BME,49500,Cell Mechanics,MWF,11:30 am-12:20 pm,9,Tae Yoon Kim (P),MJIS 1083,Lecture
BME,52800,Measurement And Stimulation Of The Nervous System,TR,01:30 pm-02:45 pm,11,Eugenio Culurciello (P),MJIS 1083,Lecture
BME,59500,Functional MRI Applications,F,09:30 am-10:20 am,16,"Corey P Neu (P), Gregory George Tamer",MJIS 1083,Laboratory Preparation
BME,59500,Musculoskeletal Biol & Mechan,TR,09:00 am-10:15 am,8,"Joseph M Wallace (P), Andrew Owen Brightman",MJIS 1083,Lecture
BME,59500,Engineering Ethics,R,04:30 pm-05:45 pm,7,Andrew Owen Brightman (P),MJIS 1083,Lecture
BME,59500,Neural Mech Health & Disease,MWF,08:30 am-09:20 am,11,Edward L Bartlett (P),MJIS 1083,Lecture
BME,59500,Reg Approval Of Biomed Devices,T,03:00 pm-05:50 pm,17,Vickie Joanne Maris (P),MJIS 1083,Lecture
BME,69000,Seminar In Biomedical Engineering,W,09:30 am-10:20 am,30,Craig J Goergen (P),MJIS 1001,Lecture
BME,69500,Cardiovascular BME & Imaging,TR,10:30 am-11:45 am,10,Craig J Goergen (P),MJIS 1083,Lecture
CE,20300,Principles And Practice Of Geomatics,MWF,09:30 am-10:20 am,39,Steven D Johnson (P),HAMP 1252,Lecture
CE,20300,Principles And Practice Of Geomatics,M,02:30 pm-05:20 pm,13,Felipe Anthony Tolliver (P),HAMP 1113,Laboratory
CE,20300,Principles And Practice Of Geomatics,T,02:30 pm-05:20 pm,15,Logan Adam Praay (P),HAMP 1113,Laboratory
CE,20300,Principles And Practice Of Geomatics,R,01:30 pm-04:20 pm,11,Logan Adam Praay (P),HAMP 1113,Laboratory
CE,22200,Life Cycle Engineering And Mangement Of Constructed Facilities,MWF,10:30 am-11:20 am,85,Dulcy M Abraham (P),HAMP 1144,Lecture
CE,23100,Engineering Materials I,MW,11:30 am-12:20 pm,105,Pablo Daniel Zavattieri (P),ARMS 1010,Lecture
CE,23100,Engineering Materials I,M,01:30 pm-03:20 pm,17,Parth Panchmatia (P),HAMP G150C,Laboratory
CE,23100,Engineering Materials I,M,03:30 pm-05:20 pm,22,Parth Panchmatia (P),HAMP G150C,Laboratory
CE,23100,Engineering Materials I,T,09:30 am-11:20 am,20,Warda Bint Ashraf (P),HAMP G150C,Laboratory
CE,23100,Engineering Materials I,T,11:30 am-01:20 pm,24,Kho Pin Verian (P),HAMP G150C,Laboratory
CE,23100,Engineering Materials I,T,03:30 pm-05:20 pm,22,Belayneh Berhanu Desta (P),HAMP G150C,Laboratory
CE,23100,Engineering Materials I,F,11:30 am-12:20 pm,105,Pablo Daniel Zavattieri (P),ARMS 1010,Laboratory Preparation
CE,27000,Introductory Structural Mechanics,T,11:30 am-02:20 pm,18,Quang Dinh Nguyen (P),HAMP 2118,Laboratory
CE,27000,Introductory Structural Mechanics,T,02:30 pm-05:20 pm,22,Kuo Guo (P),HAMP 2118,Laboratory
CE,27000,Introductory Structural Mechanics,MWF,08:30 am-09:20 am,110,Amit H Varma (P),ME 1130,Lecture
CE,27000,Introductory Structural Mechanics,W,02:30 pm-05:20 pm,22,Carissa M Maes (P),HAMP 1113,Laboratory
CE,27000,Introductory Structural Mechanics,R,11:30 am-02:20 pm,24,Quang Dinh Nguyen (P),HAMP 2118,Laboratory
CE,27000,Introductory Structural Mechanics,R,02:30 pm-05:20 pm,24,Carissa M Maes (P),HAMP 2118,Laboratory
CE,29202,Contemporary Issues In Civil Engineering,W,03:30 pm-04:20 pm,43,John C Tompkins (P),HAMP 1252,Lecture
CE,29202,Contemporary Issues In Civil Engineering,W,01:30 pm-02:20 pm,18,John C Tompkins (P),HAMP 2117,Recitation
CE,29202,Contemporary Issues In Civil Engineering,W,02:30 pm-03:20 pm,25,John C Tompkins (P),HAMP 2117,Recitation
CE,29700,Basic Mechanics I (Statics),MWF,12:30 pm-01:20 pm,124,Mohammad Reza Jahanshahi (P),WTHR 104,Lecture
CE,29800,Basic Mechanics II Dynamics,MWF,07:30 am-08:20 am,97,Dennis A Lyn (P),ARMS 1010,Lecture
CE,31100,Architectural Engineering,TR,01:30 pm-02:45 pm,15,Panagiota Karava (P),EE 117,Lecture
CE,33100,Engineering Materials II,F,11:30 am-12:20 pm,54,William Jason Weiss (P),HAMP 1144,Laboratory Preparation
CE,33100,Engineering Materials II,MW,11:30 am-12:20 pm,54,William Jason Weiss (P),HAMP 1144,Lecture
CE,33100,Engineering Materials II,R,01:30 pm-03:20 pm,20,Catherine L Lucero (P),HAMP G150C,Laboratory
CE,33100,Engineering Materials II,R,03:30 pm-05:20 pm,19,Hadi Shagerdi Esmaeeli (P),HAMP G150C,Laboratory
CE,33100,Engineering Materials II,F,09:30 am-11:20 am,15,Robert Paul Spragg (P),HAMP G150C,Laboratory
CE,34000,Hydraulics,MW,12:30 pm-01:20 pm,98,Cary D Troy (P),HAMP 1144,Lecture
CE,34000,Hydraulics,F,01:30 pm-02:20 pm,98,Cary D Troy (P),HIKS B848,Recitation
CE,34300,Elementary Hydraulics Laboratory,M,08:30 am-11:20 am,6,"Cary D Troy (P), Nikhil Sangwan",HAMP B115F,Laboratory
CE,34300,Elementary Hydraulics Laboratory,T,11:30 am-02:20 pm,21,"Cary D Troy (P), Nikhil Sangwan",HAMP B115F,Laboratory
CE,34300,Elementary Hydraulics Laboratory,T,02:30 pm-05:20 pm,20,"Cary D Troy (P), Meenu Ramadas",HAMP B115F,Laboratory
CE,34300,Elementary Hydraulics Laboratory,R,11:30 am-02:20 pm,21,"Cary D Troy (P), Nikhil Sangwan",HAMP B115F,Laboratory
