Department,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Type
ECE,33700,7,PWL,2,ASIC Design Laboratory,TR,09:30 am-10:20 am,95,90,5,0,0,0,0,0,0,Mark Casey Johnson (P),01/12-05/03,HAMP 1144,Lecture
ECE,33700,8,PWL,0,ASIC Design Laboratory,T,11:30 am-02:20 pm,19,17,2,0,0,0,0,0,0,Mark Casey Johnson (P),01/12-05/02,EE 215,Laboratory
ECE,36200,1,PWL,4,Microprocessor Systems And Interfacing,MWF,10:30 am-11:20 am,105,101,4,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,WTHR 172,Lecture
ECE,36200,2,PWL,0,Microprocessor Systems And Interfacing,R,11:30 am-02:20 pm,15,15,0,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36200,3,PWL,0,Microprocessor Systems And Interfacing,W,07:30 am-10:20 am,15,13,2,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36200,4,PWL,0,Microprocessor Systems And Interfacing,T,11:30 am-02:20 pm,15,15,0,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36200,5,PWL,0,Microprocessor Systems And Interfacing,R,07:30 am-10:20 am,15,14,1,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36200,6,PWL,0,Microprocessor Systems And Interfacing,F,07:30 am-10:20 am,15,15,0,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36200,7,PWL,0,Microprocessor Systems And Interfacing,T,07:30 am-10:20 am,15,14,1,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36200,8,PWL,0,Microprocessor Systems And Interfacing,W,11:30 am-02:20 pm,15,15,0,0,0,0,0,0,0,David George Meyer (P),01/12-05/02,EE 058,Laboratory
ECE,36400,1,PWL,1,Software Engineering Tools Laboratory,M,11:30 am-12:20 pm,84,78,6,0,0,0,0,0,0,"Mark Casey Johnson (P), Ahmad A Gheith",01/12-05/02,MSEE B012,Laboratory Preparation
ECE,36400,2,PWL,0,Software Engineering Tools Laboratory,W,09:30 am-11:20 am,21,24,-3,0,0,0,0,0,0,"Prashanth Purnananda (P), Ahmad A Gheith , Mark Casey Johnson",01/12-05/02,EE 206,Laboratory
